Station,Date,"Avg Temp","RH Max","Vapor Pressure","Liquid Precip"
id,date,"deg F","%",kPa,in
dvc01,"11/27/2025",36.7,0.913,0.498,0.0
dvc01,"11/28/2025",35.54,0.915,0.508,0.0
dvc01,"11/29/2025",34.42,0.929,0.376,0.0
dvc01,"11/30/2025",31.04,0.963,0.432,0.0
dvc01,"12/01/2025",26.0,0.909,0.355,0.01
eac01,"11/25/2025",31.48,0.91,0.361,0.0
eac01,"11/26/2025",30.36,0.856,0.378,0.0
eac01,"11/27/2025",36.63,0.886,0.444,0.0
eac01,"11/28/2025",35.58,0.985,0.562,0.0
eac01,"11/29/2025",21.51,0.946,0.29,0.0
eac01,"11/30/2025",18.66,0.916,0.259,0.0
eac01,"12/01/2025",24.73,0.888,0.253,0.01
egl01,"11/25/2025",33.57,0.843,0.396,0.0
egl01,"11/26/2025",31.97,0.828,0.342,0.0
egl01,"11/27/2025",33.94,0.821,0.372,0.0
egl01,"11/28/2025",35.6,0.883,0.42,0.0
egl01,"11/29/2025",30.77,0.872,0.286,0.0
egl01,"11/30/2025",22.87,0.957,0.338,0.0
egl01,"12/01/2025",20.92,0.949,0.283,0.09
ekt01,"11/25/2025",35.9,0.909,0.49,0.0
ekt01,"11/26/2025",36.18,0.852,0.455,0.0
ekt01,"11/27/2025",35.76,0.878,0.43,0.0
ekt01,"11/28/2025",35.01,0.907,0.481,0.0
ekt01,"11/29/2025",34.7,0.91,0.418,0.0
ekt01,"11/30/2025",31.65,0.99,0.504,0.06
ekt01,"12/01/2025",28.94,0.992,0.424,0.02
fcc01,"11/25/2025",36.34,0.737,0.294,0.0
fcc01,"11/26/2025",26.35,0.829,0.284,0.0
fcc01,"11/27/2025",31.31,0.853,0.363,0.0
fcc01,"11/28/2025",36.98,0.916,0.451,0.03
fcc01,"11/29/2025",24.0,0.864,0.283,0.0
fcc01,"11/30/2025",16.42,0.916,0.243,0.0
fcc01,"12/01/2025",23.54,0.933,0.257,0.02
fcl01,"11/25/2025",37.84,0.572,-999,0.0
fcl01,"11/26/2025",28.88,0.785,-999,0.0
fcl01,"11/27/2025",32.75,0.808,-999,0.0
fcl01,"11/28/2025",37.92,0.865,-999,0.03
fcl01,"11/29/2025",25.65,0.862,-999,0.0
fcl01,"11/30/2025",18.93,0.901,-999,0.0
fcl01,"12/01/2025",25.68,0.953,-999,0.01
frt03,"11/25/2025",35.04,1.001,0.547,0.0
frt03,"11/26/2025",35.35,0.978,0.536,0.0
frt03,"11/27/2025",34.9,0.993,0.499,0.0
frt03,"11/28/2025",33.43,0.98,0.521,0.0
frt03,"11/29/2025",33.09,1.0,0.457,0.0
frt03,"11/30/2025",33.2,0.997,0.56,0.05
frt03,"12/01/2025",29.05,0.952,0.407,0.0
ftc01,"11/25/2025",35.8,0.721,0.3,0.0
ftc01,"11/26/2025",26.21,0.881,0.288,0.0
ftc01,"11/27/2025",30.53,0.898,0.364,0.0
ftc01,"11/28/2025",36.05,0.957,0.452,0.04
ftc01,"11/29/2025",23.69,0.894,0.288,0.0
ftc01,"11/30/2025",16.32,0.943,0.249,0.0
ftc01,"12/01/2025",23.11,0.952,0.264,0.01
ftc03,"11/25/2025",34.83,0.602,0.265,0.0
