Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
ftl01,"11/27/2025",16.11,349.4,106.67
ftl01,"11/28/2025",30.65,300.1,93.52
ftl01,"11/29/2025",38.48,16.8,119.17
ftl01,"11/30/2025",10.51,313.9,60.33
ftl01,"12/01/2025",12.75,182.5,117.08
fwl01,"11/25/2025",15.55,92.6,116.21
fwl01,"11/26/2025",9.4,335.1,120.52
fwl01,"11/27/2025",12.19,72.3,120.63
fwl01,"11/28/2025",12.75,325.8,77.21
fwl01,"11/29/2025",22.26,0.1,118.46
fwl01,"11/30/2025",18.34,105.5,91.94
fwl01,"12/01/2025",12.75,23.2,120.61
gby01,"11/25/2025",22.28,259.0,125.0
gby01,"11/26/2025",28.86,286.6,74.7
gby01,"11/27/2025",19.19,266.2,71.79
gby01,"11/28/2025",31.23,295.6,78.32
gby01,"11/29/2025",26.44,261.8,106.94
gby01,"11/30/2025",12.47,290.7,27.34
gby01,"12/01/2025",18.54,248.1,110.07
gly04,"11/25/2025",29.15,306.3,127.2
gly04,"11/26/2025",8.16,335.1,64.19
gly04,"11/27/2025",9.67,60.5,73.9
gly04,"11/28/2025",18.72,292.3,75.89
gly04,"11/29/2025",35.19,307.8,117.25
gly04,"11/30/2025",16.05,115.9,46.22
gly04,"12/01/2025",11.02,156.3,118.63
gun01,"11/25/2025",19.46,284.6,121.75
gun01,"11/26/2025",14.99,320.7,110.6
gun01,"11/27/2025",9.4,240.1,135.61
gun01,"11/28/2025",24.49,248.0,118.94
gun01,"11/29/2025",26.73,299.5,135.07
gun01,"11/30/2025",10.51,209.6,29.04
gun01,"12/01/2025",14.43,321.1,32.93
gun02,"11/25/2025",23.76,236.2,104.56
gun02,"11/26/2025",19.51,247.2,115.05
gun02,"11/27/2025",6.28,88.5,135.56
gun02,"11/28/2025",28.34,269.4,126.57
gun02,"11/29/2025",24.27,261.3,135.92
gun02,"11/30/2025",14.18,283.5,26.12
gun02,"12/01/2025",16.88,277.1,77.92
gyp01,"11/25/2025",21.59,246.1,107.29
gyp01,"11/26/2025",25.81,230.5,64.34
gyp01,"11/27/2025",17.84,226.8,107.52
gyp01,"11/28/2025",28.63,323.4,109.72
gyp01,"11/29/2025",23.35,271.9,110.53
gyp01,"11/30/2025",4.82,108.9,19.51
gyp01,"12/01/2025",16.97,218.2,70.41
heb01,"11/25/2025",37.92,157.7,98.51
heb01,"11/26/2025",40.15,259.7,55.55
heb01,"11/27/2025",26.17,189.3,98.69
heb01,"11/28/2025",32.88,57.8,97.75
heb01,"11/29/2025",-999,-999,-999
heb01,"11/30/2025",-999,-999,-999
heb01,"12/01/2025",-999,-999,-999
hly01,"11/25/2025",28.97,7.1,138.43
hly01,"11/26/2025",22.82,155.9,126.68
hly01,"11/27/2025",12.75,278.9,139.13
hly01,"11/28/2025",25.05,5.6,69.38
hly01,"11/29/2025",33.44,19.2,139.1
hly01,"11/30/2025",26.17,59.2,58.49
hly01,"12/01/2025",22.26,259.5,137.68
hly02,"11/25/2025",27.85,342.6,117.85
hly02,"11/26/2025",20.58,176.2,116.4
hly02,"11/27/2025",13.31,191.1,126.73
hly02,"11/28/2025",23.38,339.4,66.24
hly02,"11/29/2025",36.24,349.0,125.11
hly02,"11/30/2025",24.49,117.0,55.27
hly02,"12/01/2025",25.05,341.2,124.53
hne01,"11/25/2025",14.43,54.7,118.4
hne01,"11/26/2025",20.02,300.5,118.79
hne01,"11/27/2025",15.55,251.5,126.6
hne01,"11/28/2025",21.14,286.0,58.94
hne01,"11/29/2025",21.14,29.6,48.38
hne01,"11/30/2025",14.43,54.9,116.2
hne01,"12/01/2025",9.95,300.6,122.07
hot02,"11/25/2025",11.84,271.5,117.64
hot02,"11/26/2025",10.38,257.7,105.25
hot02,"11/27/2025",11.62,69.9,125.38
hot02,"11/28/2025",10.01,279.7,84.83
hot02,"11/29/2025",13.45,275.1,124.7
hot02,"11/30/2025",12.42,31.4,12.02
hot02,"12/01/2025",9.06,71.5,89.48
hxt01,"11/25/2025",38.01,343.5,107.91
hxt01,"11/26/2025",15.93,181.7,45.39
hxt01,"11/27/2025",18.19,142.8,80.93
hxt01,"11/28/2025",20.47,173.5,41.66
hxt01,"11/29/2025",35.3,347.4,112.06
hxt01,"11/30/2025",20.02,102.5,59.2
hxt01,"12/01/2025",25.05,314.4,109.14
hyd01,"11/25/2025",16.88,288.3,105.27
hyd01,"11/26/2025",8.55,130.2,32.6
hyd01,"11/27/2025",8.26,144.1,70.14
hyd01,"11/28/2025",33.24,321.7,52.92
hyd01,"11/29/2025",28.5,286.1,96.73
